drain TotalCurrent(IdVg_n2_SATURATION_des) X,drain TotalCurrent(IdVg_n2_SATURATION_des) Y
-0.475,6.883415e-13
-0.45,1.4331991e-12
-0.425,2.9868261e-12
-0.4,6.2255161e-12
-0.375,1.297999e-11
-0.35,2.7053457e-11
-0.325,5.6381708e-11
-0.3,1.1742967e-10
-0.275,2.4382525e-10
-0.25,5.0451688e-10
-0.225,1.0388864e-09
-0.2,2.1228549e-09
-0.175,4.30368e-09
-0.15,8.634046e-09
-0.125,1.703828e-08
-0.1,3.2763041e-08
-0.075,6.0629201e-08
-0.05,1.0621329e-07
-0.025,1.7377962e-07
1.110223e-16,2.6353002e-07
0.025,3.7080898e-07
0.05,4.8852171e-07
0.075,6.098016e-07
0.1,7.2946158e-07
0.125,8.4405205e-07
0.15,9.5230058e-07
0.175,1.0526521e-06
0.2,1.1455749e-06
0.225,1.231288e-06
0.25,1.3099001e-06
0.275,1.3822427e-06
0.3,1.4487419e-06
0.325,1.5100354e-06
0.35,1.5664867e-06
0.375,1.6187268e-06
0.4,1.6671674e-06
0.425,1.7121754e-06
0.45,1.75409e-06
0.475,1.7932702e-06
0.5,1.8299205e-06
0.525,1.8640421e-06
0.55,1.8960528e-06
0.575,1.9260952e-06
0.6,1.9544874e-06
0.625,1.9813067e-06
0.65,2.0067454e-06
0.675,2.0307936e-06
0.7,2.0536591e-06
0.725,2.0753818e-06
0.75,2.0961253e-06
0.775,2.1159742e-06
0.8,2.1349003e-06
0.825,2.152893e-06
0.85,2.1701527e-06
0.875,2.1867295e-06
0.9,2.2026632e-06
0.925,2.2179486e-06
0.95,2.2326302e-06
0.975,2.2465815e-06
1,2.2600483e-06
1.025,2.2730174e-06
1.05,2.2855608e-06
1.075,2.2976862e-06
1.1,2.3094139e-06
1.125,2.3207906e-06
1.15,2.33173e-06
1.175,2.3423651e-06
1.2,2.3527117e-06
1.225,2.3627943e-06
1.25,2.3726175e-06
1.275,2.382197e-06
1.3,2.3914715e-06
1.325,2.4004973e-06
1.35,2.4093213e-06
1.375,2.4179514e-06
1.4,2.4263732e-06
1.425,2.4346006e-06
1.45,2.4426543e-06
1.475,2.4505094e-06
1.5,2.4581486e-06
1.525,2.4656361e-06
1.55,2.472941e-06
1.575,2.4801056e-06
1.6,2.4871422e-06
1.625,2.4940403e-06
1.65,2.5008114e-06
1.675,2.5074672e-06
1.7,2.514005e-06
1.725,2.5203415e-06
1.75,2.5265646e-06
1.775,2.5326528e-06
1.8,2.5386424e-06
1.825,2.5445402e-06
1.85,2.5503414e-06
1.875,2.5560451e-06
1.9,2.561656e-06
1.925,2.5671704e-06
1.95,2.5725942e-06
1.975,2.5779285e-06
2,2.5831638e-06

