drain TotalCurrent(IdVd_n4_SATURATION_des) X,drain TotalCurrent(IdVd_n4_SATURATION_des) Y
0.014,3.1319327e-06
0.028,5.9121894e-06
0.042,8.2913035e-06
0.056,1.0239324e-05
0.07,1.1763775e-05
0.084,1.2934469e-05
0.098,1.3866262e-05
0.112,1.4661854e-05
0.126,1.5381082e-05
0.14,1.6053595e-05
0.154,1.6694558e-05
0.168,1.7313066e-05
0.182,1.7915495e-05
0.196,1.85064e-05
0.21,1.9088552e-05
0.224,1.9664416e-05
0.238,2.0235908e-05
0.252,2.0803822e-05
0.266,2.1368387e-05
0.28,2.1930391e-05
0.294,2.249012e-05
0.308,2.3047878e-05
0.322,2.3603865e-05
0.336,2.4158357e-05
0.35,2.4711754e-05
0.364,2.5263551e-05
0.378,2.5812739e-05
0.392,2.6356387e-05
0.406,2.6893573e-05
0.42,2.742303e-05
0.434,2.794064e-05
0.448,2.8447039e-05
0.462,2.8943355e-05
0.476,2.9428954e-05
0.49,2.9903459e-05
0.504,3.0366428e-05
0.518,3.0817499e-05
0.532,3.12561e-05
0.546,3.1682408e-05
0.56,3.2096374e-05
0.574,3.2498537e-05
0.588,3.2889476e-05
0.602,3.3269906e-05
0.616,3.3640644e-05
0.63,3.4002405e-05
0.644,3.4355775e-05
0.658,3.4701151e-05
0.672,3.5038881e-05
0.686,3.5369137e-05
0.7,3.5692107e-05
0.714,3.6007857e-05
0.728,3.6316415e-05
0.742,3.6617796e-05
0.756,3.6911991e-05
0.77,3.7198945e-05
0.784,3.7478551e-05
0.798,3.7750657e-05
0.812,3.8015417e-05
0.826,3.8272723e-05
0.84,3.8522576e-05
0.854,3.8765097e-05
0.868,3.9000374e-05
0.882,3.9228368e-05
0.896,3.9449229e-05
0.91,3.9663207e-05
0.924,3.9870595e-05
0.938,4.0071433e-05
0.952,4.0265801e-05
0.966,4.0453958e-05
0.98,4.0635994e-05
0.994,4.0812021e-05
1.008,4.0982056e-05
1.022,4.1146105e-05
1.036,4.1304379e-05
1.05,4.1456959e-05
1.064,4.16039e-05
1.078,4.1745342e-05
1.092,4.1881377e-05
1.106,4.2012095e-05
1.12,4.2137601e-05
1.134,4.2257996e-05
1.148,4.2373392e-05
1.162,4.24839e-05
1.176,4.2589621e-05
1.19,4.2690691e-05
1.204,4.2787214e-05
1.218,4.2879351e-05
1.232,4.2967237e-05
1.246,4.3051014e-05
1.26,4.3130841e-05
1.274,4.3206893e-05
1.288,4.3279348e-05
1.302,4.33484e-05
1.316,4.3414229e-05
1.33,4.3477022e-05
1.344,4.3536966e-05
1.358,4.3594255e-05
1.372,4.3649083e-05
1.386,4.3701628e-05
1.4,4.3752037e-05

