drain TotalCurrent(IdVg_n3_SATURATION_des) X,drain TotalCurrent(IdVg_n3_SATURATION_des) Y
-0.475,3.7593471e-11
-0.45,7.8164361e-11
-0.425,1.6156045e-10
-0.4,3.3120641e-10
-0.375,6.7106303e-10
-0.35,1.3365456e-09
-0.325,2.5964632e-09
-0.3,4.8707232e-09
-0.275,8.7293033e-09
-0.25,1.4826963e-08
-0.225,2.3804963e-08
-0.2,3.6239271e-08
-0.175,5.2674168e-08
-0.15,7.3642463e-08
-0.125,9.9777202e-08
-0.1,1.3151259e-07
-0.075,1.6921372e-07
-0.05,2.1174148e-07
-0.025,2.601705e-07
1.110223e-16,3.1500044e-07
0.025,3.7583677e-07
0.05,4.4197047e-07
0.075,5.12398e-07
0.1,5.8585731e-07
0.125,6.6101793e-07
0.15,7.3658918e-07
0.175,8.1120054e-07
0.2,8.8400584e-07
0.225,9.5419508e-07
0.25,1.02097e-06
0.275,1.0844022e-06
0.3,1.1442706e-06
0.325,1.2006743e-06
0.35,1.2535934e-06
0.375,1.3032781e-06
0.4,1.3498493e-06
0.425,1.3934725e-06
0.45,1.4343831e-06
0.475,1.4728152e-06
0.5,1.5089693e-06
0.525,1.5430175e-06
0.55,1.5750511e-06
0.575,1.605263e-06
0.6,1.6338457e-06
0.625,1.6608485e-06
0.65,1.6864783e-06
0.675,1.7106555e-06
0.7,1.7336628e-06
0.725,1.7555753e-06
0.75,1.7764668e-06
0.775,1.7964066e-06
0.8,1.8154651e-06
0.825,1.8337079e-06
0.85,1.8511927e-06
0.875,1.8679557e-06
0.9,1.8840608e-06
0.925,1.8995373e-06
0.95,1.9144437e-06
0.975,1.9287977e-06
1,1.9425585e-06
1.025,1.955843e-06
1.05,1.9686924e-06
1.075,1.981138e-06
1.1,1.9932122e-06
1.125,2.0048664e-06
1.15,2.0160381e-06
1.175,2.0268716e-06
1.2,2.0373959e-06
1.225,2.0476366e-06
1.25,2.0575975e-06
1.275,2.067295e-06
1.3,2.0766913e-06
1.325,2.0858588e-06
1.35,2.094806e-06
1.375,2.1035433e-06
1.4,2.1120518e-06
1.425,2.1203475e-06
1.45,2.1284492e-06
1.475,2.1363762e-06
1.5,2.144137e-06
1.525,2.1517317e-06
1.55,2.1591146e-06
1.575,2.1663559e-06
1.6,2.1734574e-06
1.625,2.1804083e-06
1.65,2.1872176e-06
1.675,2.193901e-06
1.7,2.2004605e-06
1.725,2.2068807e-06
1.75,2.2131658e-06
1.775,2.2193437e-06
1.8,2.2254167e-06
1.825,2.2313794e-06
1.85,2.2372323e-06
1.875,2.2429794e-06
1.9,2.248631e-06
1.925,2.2541949e-06
1.95,2.2596632e-06
1.975,2.2650398e-06
2,2.270322e-06

