drain TotalCurrent(IdVg_n4_SATURATION_des) X,drain TotalCurrent(IdVg_n4_SATURATION_des) Y
-0.475,1.696207e-09
-0.45,3.3927723e-09
-0.425,6.6843333e-09
-0.4,1.2902577e-08
-0.375,2.4233019e-08
-0.35,4.392979e-08
-0.325,7.6268098e-08
-0.3,1.2609534e-07
-0.275,1.9811785e-07
-0.25,2.962933e-07
-0.225,4.2357874e-07
-0.2,5.8200264e-07
-0.175,7.7287711e-07
-0.15,9.9702308e-07
-0.125,1.2548802e-06
-0.1,1.5465534e-06
-0.075,1.8713379e-06
-0.05,2.2270716e-06
-0.025,2.6099037e-06
1.110223e-16,3.019462e-06
0.025,3.4546167e-06
0.05,3.9121292e-06
0.075,4.3891122e-06
0.1,4.881988e-06
0.125,5.386088e-06
0.15,5.8976359e-06
0.175,6.4119783e-06
0.2,6.9267926e-06
0.225,7.4396196e-06
0.25,7.9491312e-06
0.275,8.4547811e-06
0.3,8.9564834e-06
0.325,9.4539121e-06
0.35,9.9479654e-06
0.375,1.043954e-05
0.4,1.0929305e-05
0.425,1.1417265e-05
0.45,1.1904994e-05
0.475,1.2392566e-05
0.5,1.2880427e-05
0.525,1.3369092e-05
0.55,1.385867e-05
0.575,1.4349442e-05
0.6,1.4841574e-05
0.625,1.5335231e-05
0.65,1.5830513e-05
0.675,1.632748e-05
0.7,1.6826144e-05
0.725,1.7326545e-05
0.75,1.7828723e-05
0.775,1.8332651e-05
0.8,1.8838341e-05
0.825,1.9345745e-05
0.85,1.9854841e-05
0.875,2.0365599e-05
0.9,2.0877924e-05
0.925,2.1391822e-05
0.95,2.1907209e-05
0.975,2.2424054e-05
1,2.2942306e-05
1.025,2.3461786e-05
1.05,2.3982499e-05
1.075,2.4504395e-05
1.1,2.5027398e-05
1.125,2.5551435e-05
1.15,2.6076349e-05
1.175,2.6602138e-05
1.2,2.7128737e-05
1.225,2.7656053e-05
1.25,2.8183951e-05
1.275,2.8712304e-05
1.3,2.924088e-05
1.325,2.9769863e-05
1.35,3.0299142e-05
1.375,3.0828608e-05
1.4,3.1358111e-05
1.425,3.1887574e-05
1.45,3.2416945e-05
1.475,3.2946026e-05
1.5,3.3474688e-05
1.525,3.4002822e-05
1.55,3.45304e-05
1.575,3.5057314e-05
1.6,3.5583457e-05
1.625,3.6108638e-05
1.65,3.6632732e-05
1.675,3.7155563e-05
1.7,3.767705e-05
1.725,3.8197025e-05
1.75,3.8715312e-05
1.775,3.923172e-05
1.8,3.9746022e-05
1.825,4.0257975e-05
1.85,4.0767345e-05
1.875,4.1273867e-05
1.9,4.1777231e-05
1.925,4.2277102e-05
1.95,4.2773128e-05
1.975,4.3264917e-05
2,4.3752037e-05

