drain TotalCurrent(IdVg_n3_SATURATION_des) X,drain TotalCurrent(IdVg_n3_SATURATION_des) Y
-0.475,2.5026611e-11
-0.45,4.9985697e-11
-0.425,9.9767333e-11
-0.4,1.9889326e-10
-0.375,3.9582614e-10
-0.35,7.8588997e-10
-0.325,1.5553916e-09
-0.3,3.0652668e-09
-0.275,6.0060227e-09
-0.25,1.1674412e-08
-0.225,2.2438092e-08
-0.2,4.2438191e-08
-0.175,7.8418009e-08
-0.15,1.4036324e-07
-0.125,2.4084032e-07
-0.1,3.9294802e-07
-0.075,6.0364665e-07
-0.05,8.70494e-07
-0.025,1.1962445e-06
1.110223e-16,1.5756706e-06
0.025,1.9986125e-06
0.05,2.4554735e-06
0.075,2.9343149e-06
0.1,3.4244829e-06
0.125,3.9162995e-06
0.15,4.3999869e-06
0.175,4.8694963e-06
0.2,5.3248759e-06
0.225,5.7681117e-06
0.25,6.2036154e-06
0.275,6.6346677e-06
0.3,7.0643651e-06
0.325,7.4950277e-06
0.35,7.9286542e-06
0.375,8.3664521e-06
0.4,8.8095821e-06
0.425,9.2580452e-06
0.45,9.7130014e-06
0.475,1.0173773e-05
0.5,1.0640772e-05
0.525,1.111394e-05
0.55,1.1593256e-05
0.575,1.2078519e-05
0.6,1.2569428e-05
0.625,1.3065882e-05
0.65,1.3567658e-05
0.675,1.4074574e-05
0.7,1.4586333e-05
0.725,1.5102789e-05
0.75,1.5623721e-05
0.775,1.6148902e-05
0.8,1.6678143e-05
0.825,1.721123e-05
0.85,1.7748007e-05
0.875,1.828826e-05
0.9,1.8831803e-05
0.925,1.9378441e-05
0.95,1.9928019e-05
0.975,2.0480392e-05
1,2.1035381e-05
1.025,2.1592737e-05
1.05,2.2152403e-05
1.075,2.2714225e-05
1.1,2.3278055e-05
1.125,2.3843709e-05
1.15,2.441102e-05
1.175,2.4979899e-05
1.2,2.5550233e-05
1.225,2.612181e-05
1.25,2.669455e-05
1.275,2.7268071e-05
1.3,2.7842404e-05
1.325,2.8417548e-05
1.35,2.8993329e-05
1.375,2.9569642e-05
1.4,3.0146216e-05
1.425,3.0723084e-05
1.45,3.130008e-05
1.475,3.1877031e-05
1.5,3.2453756e-05
1.525,3.3030156e-05
1.55,3.3606121e-05
1.575,3.418158e-05
1.6,3.4756397e-05
1.625,3.5330385e-05
1.65,3.5903447e-05
1.675,3.6475407e-05
1.7,3.7046139e-05
1.725,3.7615516e-05
1.75,3.8183377e-05
1.775,3.8749524e-05
1.8,3.931377e-05
1.825,3.9875866e-05
1.85,4.0435606e-05
1.875,4.0992745e-05
1.9,4.1546989e-05
1.925,4.2097997e-05
1.95,4.2645384e-05
1.975,4.3188706e-05
2,4.3727462e-05

